# id,k,j,i
268993,3,6,3
268996,3,6,3
269000,2,6,2
269002,3,6,2
269004,3,5,3
269005,3,6,2
269008,2,5,3
269010,2,6,2
269013,3,6,2
269014,3,6,2
269015,2,6,3
269016,3,6,3
269017,3,6,2
269022,2,6,3
269023,2,6,2
269024,3,6,3
269025,3,6,2
269026,3,6,2
269027,3,6,2
269028,3,6,2
269029,2,6,2
269031,2,6,2
269033,3,6,3
269034,3,6,3
269035,3,6,3
269036,3,6,2
269037,2,6,2
269038,2,6,2
269039,3,6,2
269040,3,6,2
269043,2,6,2
269048,3,6,2
269050,2,6,2
269053,2,6,2
272129,1,0,3
272130,1,0,3
272131,1,1,3
272132,1,1,3
272133,1,1,3
272134,1,0,2
272135,1,0,3
272136,1,0,3
272137,1,0,3
272138,0,0,3
272139,1,1,3
272140,1,0,3
272141,1,0,3
272142,1,0,3
272143,0,0,3
272144,0,0,3
272145,1,1,3
272146,0,0,3
272147,1,1,3
272148,0,1,3
272149,0,0,3
272150,1,0,2
272151,1,0,3
272152,1,0,3
272153,1,0,3
272154,0,1,4
272156,0,1,3
272157,1,0,3
272158,1,1,3
272159,1,1,2
272160,1,1,2
272161,1,1,3
272162,0,0,3
272163,1,0,3
272164,2,0,3
272165,1,0,2
272166,1,1,3
272167,1,1,3
272168,1,1,3
272169,1,1,2
272170,1,1,3
272171,1,1,3
272172,1,1,2
272173,1,1,2
272174,1,1,2
272175,1,1,3
272176,0,1,4
272177,1,1,3
272178,1,1,3
272179,1,1,3
272180,1,1,3
272181,1,1,2
272182,1,1,3
272183,1,1,3
272184,1,1,3
272185,1,1,3
272186,1,1,3
272187,1,1,3
272188,1,1,3
272189,1,1,3
272190,1,1,3
272191,1,1,3
272192,1,1,3
272193,1,1,3
272194,1,0,3
272195,1,1,3
272196,1,1,3
272197,1,1,3
272198,1,1,3
272199,1,1,3
272200,1,1,3
272201,1,1,3
272202,1,1,3
272204,1,1,3
272205,2,0,3
272206,1,1,3
272207,1,1,4
272208,0,0,3
272209,1,0,3
272210,0,0,3
272211,0,1,3
272212,1,0,4
272214,0,1,3
272215,0,0,3
272216,0,0,3
272217,0,1,2
272218,0,0,1
272219,1,0,2
272220,1,0,1
272221,1,0,1
272222,0,1,3
272223,1,0,3
272224,1,0,2
272225,1,0,3
272226,1,0,3
272227,1,0,3
272228,1,1,1
272229,1,0,1
272230,1,1,2
272231,1,1,2
272233,0,1,3
272234,0,2,3
272235,0,1,3
272236,1,1,3
272237,0,0,2
272239,1,1,2
272240,0,0,3
272241,0,0,3
272242,1,0,3
272243,1,0,3
272244,0,0,4
272245,0,0,3
272246,0,0,2
272247,0,1,3
272248,0,1,2
272249,1,1,3
272250,1,1,3
272251,0,1,2
272252,1,1,2
272253,1,1,3
272254,1,1,2
272255,0,1,3
272257,0,2,3
272258,1,1,3
272259,0,0,3
272260,1,0,3
272261,1,1,3
272262,0,0,3
272264,1,0,3
272265,1,0,3
272267,0,0,3
272268,1,1,2
272269,0,1,3
272270,1,1,2
272271,1,1,2
272272,0,1,3
272273,1,1,2
272274,0,1,3
272275,1,1,2
272276,1,1,3
272277,0,1,3
272278,1,1,2
272279,1,1,2
272280,1,1,2
272281,0,1,2
272282,1,2,2
272283,0,1,3
272284,1,1,2
272285,0,1,3
272286,1,1,2
272287,1,1,2
272288,1,1,3
272289,1,2,3
272290,1,1,2
272291,0,2,2
272292,0,1,3
272293,1,1,3
272294,1,1,2
272295,0,1,2
272296,0,0,2
272297,0,0,3
272298,0,0,3
272300,0,0,3
272301,0,0,3
272302,1,1,2
272303,0,0,3
272305,1,1,2
272306,1,1,2
272307,1,1,3
272308,1,1,2
272309,1,1,2
272310,1,1,3
272311,0,1,3
272312,0,1,2
272313,1,1,3
272314,4,6,2
272315,4,6,2
272316,4,6,2
272318,4,5,2
272319,4,6,3
272320,4,6,3
272321,4,6,2
272322,4,6,2
272323,3,5,3
272324,4,7,3
272326,4,6,2
273506,2,5,3
273507,3,5,3
273508,2,5,3
273509,2,5,3
273510,2,5,3
273511,2,5,3
273512,2,5,3
273513,2,5,3
273514,2,5,3
273515,2,5,3
273516,2,5,3
273517,2,5,3
273518,3,5,3
273519,3,5,3
273520,3,5,3
273521,2,5,3
273522,3,5,3
273523,2,5,3
273524,2,5,3
273525,3,6,3
273526,2,5,3
273527,3,5,3
273528,3,5,3
273529,3,5,3
273530,2,5,3
273531,2,5,3
273532,2,5,3
273534,2,5,3
273535,3,4,4
273536,2,5,2
273537,2,5,3
273538,2,5,3
273539,2,5,2
273540,2,5,3
273541,2,5,2
273542,2,5,2
273543,3,5,2
273544,2,5,3
273545,2,5,3
273546,2,5,2
273547,2,5,2
273548,2,5,2
273549,2,5,3
273550,2,4,3
273551,2,5,2
273552,3,5,3
273553,2,5,2
273554,2,5,3
273555,2,5,2
273556,2,5,3
273557,2,5,3
273558,2,5,3
273559,2,5,3
273560,2,5,2
273561,2,5,3
273562,2,5,2
273563,2,5,3
273564,2,5,2
273565,2,5,3
273566,2,5,2
273567,2,5,2
273568,2,5,3
273569,3,5,2
273570,2,5,3
273571,3,5,3
273573,2,5,3
273574,2,5,2
273575,3,5,2
273576,2,5,2
273577,2,5,3
273578,2,5,3
273579,2,5,3
273581,2,5,2
273582,2,5,2
273583,2,5,3
273584,2,5,2
273585,1,5,2
273586,2,5,2
273587,2,5,3
273588,1,5,2
273589,2,5,2
273590,2,5,2
273591,2,5,2
273592,3,5,3
273593,2,5,3
273594,3,5,3
273595,3,5,3
273596,3,5,3
273597,3,5,3
273598,3,5,3
273599,3,5,3
273600,3,5,3
273601,2,5,3
273603,2,5,3
273604,3,5,3
273605,2,5,3
273606,2,5,3
273607,2,5,3
273608,3,5,3
273609,3,5,3
273610,2,5,2
273611,3,5,3
273612,3,5,3
273613,3,6,4
273614,4,6,4
273615,4,5,3
273616,4,5,3
273617,4,6,3
273618,3,5,3
273619,3,5,3
273620,5,2,5
280516,4,7,2
280517,4,6,2
280518,4,6,3
280519,4,6,3
280520,4,6,3
280521,4,6,3
280522,4,6,3
280523,3,6,3
280524,3,6,4
280525,4,6,3
280526,4,6,2
280527,4,6,3
280528,4,6,2
280529,4,6,3
280530,4,6,3
280531,4,6,3
280532,4,6,3
280533,4,6,3
280534,4,6,3
280535,4,6,2
280536,3,6,3
280537,4,7,3
280538,4,6,3
280539,3,6,3
280540,4,7,2
280541,4,6,3
280542,4,6,4
280543,4,6,3
280544,4,6,3
280545,4,6,3
280546,3,6,4
280547,3,6,3
280548,4,6,3
280549,4,6,2
280550,4,6,4
280551,4,6,3
280552,5,7,3
280553,4,7,2
280554,5,7,3
280555,5,6,2
280556,4,6,3
280557,4,5,3
280558,4,6,1
280559,4,6,3
280560,4,6,3
280561,4,6,3
280562,3,6,4
280563,2,6,4
280564,4,7,3
280565,4,7,3
280566,2,6,4
280567,2,6,4
280568,2,6,4
280569,3,6,4
280570,1,7,4
280571,3,6,4
280572,1,6,4
280573,2,7,4
280574,2,7,4
280575,3,6,4
280576,2,6,4
280577,3,6,3
280578,2,6,3
280579,1,6,4
280580,2,7,4
280582,3,7,4
280583,3,6,4
280584,2,6,4
280585,3,6,4
280586,2,7,4
280587,2,6,4
280588,1,7,4
280589,1,6,3
280590,2,6,4
280591,2,7,5
280592,2,6,4
280593,2,6,3
280594,2,6,4
280595,3,6,4
280596,2,7,4
280597,2,7,4
280598,1,7,4
280599,1,6,4
280600,4,6,4
280601,2,6,4
280602,2,6,4
280603,2,7,4
280604,3,6,3
280605,2,7,4
280606,3,6,3
280607,2,6,4
280608,4,6,4
280609,2,7,4
280610,1,6,4
280611,3,6,4
280612,2,6,4
280614,3,7,3
280615,1,7,4
280616,3,6,4
282043,2,4,2
282044,2,4,2
282045,2,4,2
282046,2,4,2
282047,2,4,2
282048,2,4,3
282049,3,4,2
282050,2,5,3
282051,2,5,2
282052,2,4,3
282053,2,4,3
282054,2,4,3
282055,2,4,3
282056,2,4,2
282057,2,4,3
282058,2,4,2
282059,2,4,2
282060,2,4,3
282061,2,4,2
282062,2,4,2
282063,2,4,2
282064,2,4,2
282065,2,4,3
282066,2,4,3
282067,2,4,2
282068,2,4,2
282069,1,4,3
282070,2,4,3
282071,2,4,3
282072,1,4,3
282073,1,4,3
282074,2,4,3
282075,2,4,3
282076,2,4,3
282077,2,4,3
282078,2,4,3
282079,2,4,2
282080,2,4,2
282081,2,4,3
282082,2,4,3
282083,2,4,2
282084,2,5,3
282085,2,5,2
286026,7,7,3
287849,2,4,4
287850,1,5,3
287851,2,4,3
287852,2,4,3
287853,2,4,3
287854,2,4,4
287855,2,4,3
287856,2,6,2
287857,2,6,3
287858,2,4,3
287859,3,6,2
287861,2,5,2
287862,3,6,2
287863,2,5,2
287864,2,6,3
287865,3,5,3
287866,3,5,3
287867,3,5,2
287868,3,5,2
287869,3,5,3
287870,2,5,3
287872,2,4,4
287874,2,5,3
287931,2,5,2
287932,2,5,3
287933,1,5,3
287934,3,5,2
287935,3,4,2
287936,3,5,3
287938,2,4,2
287941,3,5,2
287942,3,4,2
287943,3,4,2
287944,2,5,2
287945,1,5,3
287946,2,5,2
287947,3,5,2
287948,3,5,2
287949,3,5,3
287950,2,4,2
287951,1,5,3
287952,2,5,3
287953,3,5,2
287954,3,5,3
287955,3,5,2
287956,3,5,3
287957,2,5,2
287959,1,5,4
287960,2,5,2
287961,3,5,2
287962,2,5,2
287963,3,5,2
287964,2,5,3
287965,1,5,4
287967,2,5,2
287968,2,5,2
293679,4,6,2
293680,4,6,2
293681,4,6,2
293682,4,5,1
293683,4,6,2
293684,4,6,3
293685,5,6,2
293686,4,6,3
293687,4,6,3
293688,4,7,2
293689,4,6,3
293690,4,6,3
293691,4,6,3
293692,4,6,3
293693,4,6,3
293694,4,6,2
293695,4,6,3
293696,4,6,2
293697,4,6,3
293698,4,6,3
293700,4,6,3
293701,4,6,3
293702,4,5,3
293703,4,5,2
293704,4,6,3
293705,4,7,3
293706,4,6,3
293707,3,5,3
293710,4,5,2
293711,4,6,2
293712,3,6,4
293714,4,6,2
293716,4,6,3
293717,4,6,2
293718,4,5,1
293719,4,5,3
293720,4,6,3
293721,3,5,3
293722,2,6,4
293723,2,4,4
293724,3,5,3
293725,4,6,3
293726,3,6,4
293727,3,5,3
293728,2,5,4
293729,3,4,3
293730,3,6,3
293731,4,6,3
293732,4,7,2
293733,5,5,3
293734,5,7,2
293735,3,5,3
293736,2,5,4
293737,2,5,4
293738,3,7,4
293739,4,5,2
293740,3,5,4
293741,2,6,4
293742,3,5,3
293743,2,5,4
293744,4,5,2
293745,4,6,3
293746,4,5,3
293747,4,5,1
293748,3,5,4
293749,2,5,4
293750,3,5,3
293751,2,5,4
293752,4,5,2
293753,3,5,3
296164,2,5,2
296165,2,5,2
296167,1,5,2
296169,3,4,4
296173,2,5,2
296175,2,5,1
296176,2,5,2
296177,3,5,2
296178,2,5,2
296179,2,5,2
296180,2,5,2
296181,2,5,3
296182,2,5,3
296183,2,5,3
296184,2,5,2
296185,2,5,2
296186,3,5,1
296187,3,5,2
296188,2,5,2
296189,3,5,1
296190,2,5,2
296191,3,6,3
296192,2,5,2
296193,3,5,2
296194,3,5,1
296195,2,5,2
296196,2,5,2
296197,2,5,2
296198,2,5,2
296199,3,5,1
296200,3,5,2
296201,3,5,2
296203,3,5,1
296204,3,5,1
296205,3,5,2
296206,2,5,2
296207,2,5,2
296208,3,5,2
296209,3,5,2
296210,3,5,2
296211,2,5,2
296212,4,5,1
296213,3,5,2
296214,3,5,2
296215,2,5,2
296216,3,5,2
296217,2,5,3
296219,2,5,2
296220,2,5,1
296221,3,5,2
296222,2,5,2
296223,1,5,3
296224,2,5,2
296225,2,5,2
296226,2,5,2
296227,2,5,3
296228,2,5,3
296230,1,5,2
296231,2,5,1
296232,2,5,2
296233,2,5,3
300915,2,6,2
306994,0,0,3
306996,0,0,3
306998,1,0,2
307635,2,4,3
307636,2,4,2
307637,2,5,2
307638,2,5,3
307639,2,5,2
307640,2,5,2
307642,2,4,3
307644,2,4,3
307645,3,4,4
307646,2,5,2
307648,2,5,3
307649,3,3,4
307651,2,5,2
307652,2,5,3
307654,2,4,3
307655,1,5,2
307656,2,4,3
307658,3,4,3
307659,3,4,3
307660,1,4,3
307661,2,4,3
307662,3,5,3
307663,2,4,3
307664,2,4,3
307665,2,2,3
307667,3,4,4
307668,3,4,3
307669,2,3,4
307670,2,4,3
307671,3,4,3
307673,2,4,4
307674,3,4,3
307675,3,4,3
307677,2,4,4
307678,2,4,3
307680,3,5,3
307681,2,5,2
307682,3,3,3
307684,2,5,3
307685,3,5,2
307686,2,5,2
307687,2,5,3
307688,2,6,3
307689,3,5,3
307690,2,4,3
307691,2,5,2
307692,2,5,3
307693,2,4,3
307694,2,5,3
307695,2,5,3
307696,3,5,3
307697,2,5,4
307698,2,5,2
307699,2,6,3
307700,2,4,3
307701,3,4,3
307702,4,2,3
307703,2,6,2
307704,2,5,2
307705,3,4,2
307706,2,5,2
307707,2,4,3
307708,2,5,3
307710,2,5,3
307711,1,4,2
307712,1,4,3
307713,1,5,2
307714,1,4,2
307715,1,4,2
307716,1,5,2
307717,1,4,3
307718,1,3,3
307719,2,5,2
307720,1,5,2
307721,1,4,2
307722,1,5,2
307723,1,4,2
307724,2,1,3
307725,2,4,2
307726,2,5,2
307728,2,5,3
307729,1,4,3
307730,2,5,3
307731,2,5,3
307732,3,4,3
307733,2,5,3
307734,1,5,3
307735,1,5,4
307736,2,4,2
307737,2,5,2
307738,2,5,2
307739,2,5,2
307740,3,5,3
307741,2,5,3
307742,1,5,3
307743,2,5,2
307744,3,4,3
307745,2,5,3
307746,1,5,3
307747,1,4,2
307748,3,4,3
307749,2,5,2
307750,1,5,3
307751,1,4,3
307752,2,5,2
307753,2,5,2
307754,1,5,2
307755,1,5,2
307756,2,5,2
307757,3,5,3
307758,2,4,3
307759,2,4,2
307760,2,4,3
307761,2,5,1
307762,1,4,3
307763,2,5,2
307764,3,4,3
307765,3,4,2
307766,2,4,2
307767,2,5,3
307768,1,4,4
307769,2,4,3
307770,2,4,4
307771,2,4,3
307772,1,4,3
307773,1,4,3
307774,2,5,2
307775,2,4,3
307777,2,5,3
307778,2,4,3
307779,2,5,2
307780,2,4,3
307782,2,5,2
307783,2,4,4
307784,2,4,3
307785,2,4,3
307786,1,4,3
307787,1,5,2
307788,1,4,3
307789,2,4,3
307790,3,4,3
307791,1,4,3
307792,2,4,2
307793,1,4,2
307794,2,5,1
307795,2,5,3
307796,1,5,3
307797,2,5,3
307798,2,4,3
307799,1,4,3
307801,2,5,3
307802,2,4,3
307803,1,4,2
307805,2,5,3
307806,2,5,3
307807,2,4,2
307808,2,5,2
307809,1,5,2
307811,2,4,2
307812,2,5,3
307813,2,5,3
307814,1,4,3
307815,3,4,3
307816,2,4,3
307817,2,4,3
307818,1,4,3
307819,1,5,3
307820,2,5,2
307821,1,4,2
307822,1,4,3
307823,3,5,3
307824,1,5,2
307825,1,4,3
307826,2,5,2
307827,1,5,2
307828,1,5,3
307829,3,5,2
307831,1,5,2
307832,2,5,3
307833,3,5,2
307834,2,4,2
307835,2,5,3
307837,1,5,3
307838,2,5,2
307839,2,5,3
307840,2,5,3
307841,1,5,3
307842,2,1,4
307843,2,5,3
307844,2,5,2
307845,2,5,3
307846,3,5,2
307847,2,5,3
307848,2,5,2
307849,1,5,2
307850,1,5,2
307851,3,5,2
307852,2,5,2
307853,2,4,2
307854,1,5,3
307855,1,5,2
307856,3,5,2
307857,3,5,3
307858,2,5,3
307859,1,4,3
307860,2,5,2
307861,3,4,3
307862,2,4,3
307863,2,4,2
307864,2,5,2
307865,2,5,3
307866,2,4,3
307867,2,4,3
307868,2,5,2
307869,2,4,4
307870,1,4,3
307871,2,4,3
307872,1,5,1
307873,3,4,3
307874,2,4,3
307875,1,4,3
307876,2,4,2
307877,2,4,4
307878,2,4,3
307879,2,4,2
307880,1,4,2
307881,2,5,2
307882,2,4,3
307883,2,4,3
307884,1,4,3
307885,1,5,2
307886,1,5,3
307887,1,4,3
307888,2,4,3
307889,1,4,3
307890,2,4,3
307891,2,4,2
307892,1,4,2
307893,1,5,2
307894,2,4,3
307895,1,4,3
307896,1,5,2
307897,2,4,3
307898,2,4,3
307899,2,4,2
307901,2,4,2
307903,3,5,3
307904,2,4,3
307905,1,4,3
307907,2,5,3
307908,2,5,3
307909,2,4,3
307910,4,5,3
307912,3,6,3
307914,3,6,3
307916,2,6,3
307918,2,5,3
307919,3,6,3
307920,2,5,4
307921,2,6,3
307924,2,6,3
307926,4,6,3
307928,3,6,3
307929,2,6,3
307930,3,6,4
307931,3,5,3
307932,4,6,3
307934,2,6,3
307935,3,6,3
307936,3,5,3
307937,3,6,3
307939,2,6,2
307940,2,6,2
307941,2,5,2
307942,2,6,3
307943,3,6,3
307944,3,6,2
307945,3,6,3
307946,3,5,4
307950,3,6,3
307951,2,6,2
307952,2,6,3
307954,3,5,3
307956,3,6,3
307957,2,6,3
307958,2,6,3
307960,2,6,3
307961,2,6,3
307962,2,6,2
307963,2,6,3
307964,2,6,3
307965,2,6,3
307966,2,6,3
307968,2,6,3
307969,2,6,3
307970,3,6,3
307971,2,6,3
307972,2,6,3
307973,2,6,3
307974,2,6,3
307976,2,6,3
307978,2,6,2
307979,2,6,3
307980,2,6,2
307981,2,6,3
307982,2,6,3
307983,2,6,3
307984,2,5,3
307985,2,6,3
307986,2,6,3
307987,2,6,3
307988,2,6,2
307989,2,6,3
307990,1,6,3
307991,2,6,3
307992,2,6,3
307993,2,6,3
307994,2,6,3
307995,2,6,3
307996,2,6,3
307997,2,6,3
307998,2,6,3
307999,2,6,2
308000,2,6,3
308001,2,6,3
308002,2,6,3
308004,2,6,3
308006,1,6,3
308007,2,6,3
308008,2,6,3
308011,2,6,3
308012,2,6,2
308013,2,6,3
308014,2,6,2
308015,3,5,2
308016,2,6,3
308017,2,6,2
308018,2,6,3
308019,3,6,3
308020,2,6,3
308021,3,6,2
308022,2,6,2
308023,2,6,3
308024,3,6,2
308025,3,6,2
308026,3,6,3
308027,3,6,3
308028,3,6,3
308029,2,6,2
308030,3,6,2
308031,2,6,3
308032,3,6,3
308033,3,6,3
308034,3,6,3
308035,2,6,3
308036,3,6,2
308037,3,6,3
308038,2,6,2
308039,2,6,3
308040,3,6,3
308041,2,6,3
308042,3,6,2
308043,2,6,2
308044,2,6,2
308045,3,5,2
308046,2,6,3
308047,2,6,3
308048,2,6,3
308049,3,6,3
308050,2,6,2
308051,2,6,3
308052,2,6,3
308053,2,6,2
308054,3,6,3
308055,3,6,3
308056,3,6,3
308057,3,5,3
308058,3,6,2
308059,2,6,2
308060,3,6,2
308061,2,6,3
308062,2,6,3
308063,2,6,2
308064,1,6,2
308065,2,6,3
308067,2,6,4
308068,2,6,4
308069,2,6,4
308070,1,6,3
308071,1,6,4
308072,1,6,3
308076,1,6,3
308077,1,6,3
308078,1,6,3
308079,1,6,4
308080,2,6,4
308081,2,6,4
308082,1,6,3
308083,1,6,3
308084,1,6,3
308085,1,6,3
308086,1,6,3
308087,1,6,3
308088,1,6,3
308090,1,6,3
308092,1,6,3
308094,1,6,3
308095,1,6,3
308096,1,6,4
308097,2,6,3
308098,1,6,3
308099,1,6,3
308100,1,6,3
308101,2,6,3
308102,2,6,3
308103,1,6,3
308104,1,6,3
308105,1,6,3
308106,2,6,3
308107,1,6,3
308108,1,6,3
308109,1,6,3
312859,1,5,3
312860,2,5,3
312861,2,5,3
312862,1,5,3
312863,2,5,3
312864,2,5,3
312865,1,5,3
312866,2,5,3
312867,2,5,3
312868,2,5,2
312869,2,5,3
312870,2,5,2
312871,2,4,2
312872,2,5,2
312873,2,5,3
312874,2,5,2
312875,2,5,3
312876,2,5,2
312877,1,5,3
312878,2,5,3
312879,1,5,3
312881,2,5,2
312882,2,5,3
312883,2,5,2
312884,2,4,3
312885,2,5,2
312887,2,5,3
312888,2,5,2
312889,2,5,2
312890,2,5,3
312891,2,5,2
312892,2,4,3
312893,2,4,3
312894,2,5,3
312895,2,5,3
312896,2,5,2
312897,2,5,2
312898,2,5,3
312899,1,5,3
312900,2,5,2
312901,2,5,3
312902,2,5,3
312903,1,4,3
312904,1,4,2
312905,2,4,2
312906,2,5,3
312907,1,4,3
312908,2,5,2
312909,2,5,2
312910,1,5,2
312911,2,5,2
312912,2,5,2
312913,1,5,2
312914,1,5,2
312915,1,5,2
312916,2,5,3
312917,2,5,2
312918,1,5,2
312919,2,4,3
312920,1,5,3
312921,1,5,2
312922,2,5,2
312923,2,5,3
312924,1,5,3
312925,1,5,2
312926,2,5,2
312927,1,5,2
312928,1,4,2
312929,2,5,3
312930,2,5,2
312931,2,5,2
312932,2,5,2
312933,2,4,2
312934,3,4,2
312935,1,5,3
312936,2,5,3
312937,1,5,3
312938,2,5,2
312939,1,5,2
312940,1,5,3
312941,4,1,4
312942,2,5,3
312943,2,5,2
312944,3,6,3
312945,2,5,3
312946,3,5,2
312947,2,5,3
312948,3,5,4
312949,2,5,3
312950,3,5,3
312951,2,5,3
312952,2,5,3
312953,2,5,3
312954,3,5,2
312955,3,6,3
312956,3,5,2
312957,3,5,3
312958,3,5,3
312959,3,5,3
312960,3,5,3
312961,2,5,3
312962,2,5,3
312963,3,6,3
312964,3,5,4
312965,3,6,2
312966,3,5,3
312967,3,5,3
312968,2,5,3
312969,2,5,3
312970,4,5,3
312971,2,5,4
312972,3,5,3
312973,3,5,3
312974,3,5,3
312975,2,5,3
312976,3,5,3
312977,2,5,3
312978,2,5,3
312979,3,5,3
312980,2,5,3
312981,3,5,3
312982,3,5,3
312983,3,5,2
312984,3,5,4
312985,3,6,3
312986,2,5,3
312987,3,5,3
312988,3,5,2
312989,2,5,3
312990,3,5,3
312991,3,5,3
312993,2,5,3
312994,3,5,3
312995,2,4,3
312996,3,5,3
312997,2,5,2
312998,2,4,3
312999,2,4,4
313000,2,4,2
313001,3,4,2
313002,2,5,3
313004,2,5,2
313005,2,4,2
313006,3,5,2
313007,2,5,2
313008,1,5,2
313009,2,5,2
313010,2,5,2
313011,2,5,3
313012,2,5,3
313013,2,4,2
313014,2,5,1
313015,2,5,3
313016,3,4,2
313017,2,5,3
313018,2,5,2
313019,3,5,2
313020,2,5,3
313021,2,5,1
313022,2,4,2
313023,2,4,2
313024,2,5,2
313025,2,5,3
313026,2,5,3
313027,2,4,2
313028,2,5,3
313029,3,5,1
313030,2,5,3
313031,2,5,1
313032,2,4,2
313033,2,5,1
313034,2,5,2
313035,2,5,2
313036,2,4,3
313037,2,5,2
313038,2,5,3
313039,2,5,2
313040,2,5,3
313041,2,5,2
313042,2,4,3
313043,2,5,3
313044,3,5,3
313045,2,5,3
313046,2,5,2
313047,1,5,2
313048,3,5,1
313049,2,5,3
313050,2,5,3
313051,2,5,2
313052,2,5,2
313053,2,5,3
313054,2,5,1
313055,2,5,2
313056,2,5,2
313057,3,5,1
313058,2,5,3
313059,2,5,2
313061,2,5,2
313062,2,5,3
313063,3,5,2
319633,2,6,3
319634,2,6,3
319635,2,6,3
319636,2,6,3
319637,2,6,3
319638,2,5,3
319639,2,6,3
319640,2,6,3
319641,2,6,3
319643,2,6,3
319644,2,6,3
319645,2,6,3
319646,2,6,2
319647,3,6,3
319648,2,6,3
319650,2,6,3
319651,3,6,2
319652,2,6,3
319653,2,6,3
319654,2,6,3
319655,3,6,3
319656,2,6,3
319658,2,6,3
319659,2,6,3
319661,2,6,3
319662,2,6,3
319663,2,6,3
319664,2,6,3
319665,2,6,3
319666,2,6,2
319667,2,6,2
319668,2,6,3
319669,2,6,3
319670,3,6,3
319671,2,6,3
319672,2,6,3
319673,2,6,3
319675,2,6,3
319676,2,6,3
319677,2,6,3
319678,2,6,3
319681,2,6,3
319682,2,6,3
319683,2,6,3
319684,2,6,3
319685,3,6,3
319686,2,6,2
319687,2,6,2
319689,2,6,2
319690,2,6,2
319691,2,6,2
319692,2,6,2
319693,3,6,2
319694,3,6,2
319695,2,6,2
319696,2,6,3
319697,2,6,3
319698,2,6,2
319699,2,6,2
319700,2,6,2
319701,2,6,2
319702,2,6,2
319703,2,6,3
319704,2,6,2
319706,2,6,3
319707,3,6,1
319708,2,6,2
319709,2,6,2
319710,2,6,2
319711,2,6,2
319712,2,6,2
319714,2,6,2
319715,2,6,2
319716,2,6,3
319717,2,6,2
319720,2,6,2
319721,3,6,2
319722,2,6,3
319724,2,6,2
319726,2,6,3
319727,1,6,3
319728,3,6,3
319729,2,6,2
319730,2,6,2
319732,3,6,2
319734,2,6,2
319735,2,6,3
319736,2,6,3
319737,2,6,3
319738,3,6,3
319739,2,6,3
319740,2,6,2
319741,2,6,3
319742,2,6,2
319743,2,6,3
319744,2,6,3
319746,2,6,3
319747,2,6,3
319748,2,6,3
319749,2,6,3
319750,2,6,3
319751,2,6,3
319752,3,6,3
319754,2,6,3
319755,2,6,2
319756,2,6,3
319757,2,6,3
319758,2,6,2
319759,2,6,2
319760,3,6,3
319762,2,6,3
319763,2,6,3
319764,2,6,3
319765,2,6,3
319766,2,5,3
319767,2,6,3
319768,2,6,3
319769,2,6,3
319770,2,6,3
319771,2,6,3
319772,2,6,2
319773,2,6,3
319774,2,6,3
319775,2,6,3
319776,2,6,2
319778,2,6,2
319779,2,6,3
319780,2,6,2
319781,2,6,3
319782,2,6,2
319783,2,6,3
319784,2,6,3
319785,3,6,2
319786,2,6,2
319787,2,6,2
319788,2,6,2
319790,2,6,3
319791,2,6,2
319792,2,6,3
319793,2,6,2
319794,2,6,2
319795,2,6,2
319796,2,6,3
319797,2,6,2
319798,2,6,3
319799,2,6,2
319800,2,6,3
319801,2,6,2
319802,2,6,3
319803,2,6,2
319804,2,6,2
319805,2,6,2
319806,2,6,2
319808,3,6,2
319809,2,6,2
319810,2,6,2
319811,2,6,2
319812,2,6,2
319813,2,6,2
319814,3,6,2
319815,2,6,2
319816,3,6,2
319817,3,6,2
319818,2,6,2
319821,2,6,2
319822,3,6,2
319823,2,6,2
319825,2,6,1
319826,2,6,3
319827,2,6,2
319828,1,6,2
319829,2,6,2
319830,2,6,2
319832,2,6,2
319833,2,6,3
319834,2,6,3
319836,2,6,3
319838,2,6,3
319839,2,6,3
319840,2,6,3
319841,2,6,3
319842,2,6,3
319843,2,6,3
319844,2,6,3
319845,1,5,3
319846,2,6,3
319847,2,6,3
319848,2,6,3
319849,2,6,2
319850,2,6,3
319851,2,6,3
319852,2,6,3
319853,2,6,3
319854,2,6,3
319855,2,6,3
319856,2,6,3
319857,2,6,3
319858,2,6,3
319859,2,6,3
319860,3,6,2
319861,2,6,3
319863,2,6,3
319864,2,6,3
319865,2,6,3
319866,2,6,3
319867,2,6,3
319868,1,6,3
319869,2,6,3
319870,2,6,3
319871,2,6,3
319872,2,6,3
319876,2,6,3
319877,2,6,3
319878,2,6,2
319880,2,6,3
319881,2,6,3
319882,3,6,2
319884,2,6,3
319885,2,6,3
319886,3,5,2
319887,2,5,3
319890,2,5,2
319891,2,5,2
319892,3,5,2
319893,3,5,2
319895,2,5,3
319896,2,5,3
319898,2,5,3
319901,3,5,3
319902,2,6,3
319903,2,5,2
319904,2,5,3
319905,2,5,3
319906,2,5,3
319907,3,5,3
319908,2,5,2
319909,2,5,2
319910,2,5,3
319912,2,5,3
319913,3,5,2
319916,3,5,3
319917,3,5,3
319920,2,5,3
319921,2,4,3
319923,2,5,3
319928,3,4,3
319930,2,5,2
319931,2,5,3
327822,5,6,5
327823,5,6,6
327824,5,6,6
327825,5,6,5
327826,4,6,6
327827,5,6,6
327828,5,6,5
327829,4,6,6
327830,5,6,5
327831,5,6,5
327832,5,6,5
327833,5,6,6
327834,4,6,6
327835,5,6,5
327836,4,6,6
327837,5,6,6
327838,5,6,5
327840,4,6,6
327841,4,6,6
